"Country or Area","Year","Value","Value Footnotes","Unit"
"Andorra","2015","0","","tonnes"
"Andorra","2014","0","","tonnes"
"Andorra","2013","0","","tonnes"
"Andorra","2012","0","","tonnes"
"Andorra","2011","0","","tonnes"
"Andorra","2010","0","","tonnes"
"Andorra","2009","0","","tonnes"
"Andorra","2008","0","","tonnes"
"Andorra","2007","0","","tonnes"
"Andorra","2006","0","","tonnes"
"Andorra","2005","0","","tonnes"
"Andorra","2004","425.980010986328","","tonnes"
"Andorra","2003","486.799987792969","1","tonnes"
"Andorra","2002","313.399993896484","1","tonnes"
"Armenia","2015","555075","","tonnes"
"Armenia","2014","576419.375","","tonnes"
"Armenia","2013","579049.8125","","tonnes"
"Armenia","2012","470505.6875","","tonnes"
"Armenia","2011","462895.8125","2","tonnes"
"Armenia","2010","435397.78125","","tonnes"
"Armenia","2009","441023.5625","","tonnes"
"Armenia","2008","437258.53125","","tonnes"
"Armenia","2007","362275","","tonnes"
"Armenia","2006","352279","","tonnes"
"Armenia","2005","346325","","tonnes"
"Armenia","2004","351400","","tonnes"
"Armenia","2003","344095","","tonnes"
"Armenia","2002","377900","","tonnes"
"Armenia","2001","375500","","tonnes"
"Armenia","2000","381578","","tonnes"
"Armenia","1999","241596","","tonnes"
"Armenia","1998","286607","","tonnes"
"Austria","2014","439247","","tonnes"
"Austria","2012","338860","","tonnes"
"Austria","2010","401082","","tonnes"
"Austria","2008","395221","","tonnes"
"Austria","2006","335042","","tonnes"
"Austria","2004","861967","","tonnes"
"Azerbaijan","2015","382998","","tonnes"
"Azerbaijan","2014","529106.5","","tonnes"
"Azerbaijan","2013","152446","","tonnes"
"Azerbaijan","2012","205211.203125","","tonnes"
"Azerbaijan","2011","138281.5","","tonnes"
"Azerbaijan","2010","151291.90625","","tonnes"
"Azerbaijan","2009","173658.09375","","tonnes"
"Azerbaijan","2008","69180","","tonnes"
"Azerbaijan","2007","7677","","tonnes"
"Azerbaijan","2006","1435482","","tonnes"
"Azerbaijan","2005","5571","","tonnes"
"Azerbaijan","2004","105165","","tonnes"
"Azerbaijan","2003","11492","","tonnes"
"Azerbaijan","2002","3342","","tonnes"
"Azerbaijan","2001","4927","","tonnes"
"Azerbaijan","2000","11435","","tonnes"
"Azerbaijan","1999","13030","","tonnes"
"Azerbaijan","1998","33922","","tonnes"
"Azerbaijan","1997","36097","","tonnes"
"Azerbaijan","1996","18024","","tonnes"
"Azerbaijan","1995","25434","","tonnes"
"Bangladesh","2012","28946","","tonnes"
"Bangladesh","2007","19920","","tonnes"
"Belarus","2015","1557851.5","3","tonnes"
"Belarus","2014","2093566.75","3","tonnes"
"Belarus","2013","1848646.125","3","tonnes"
"Belarus","2012","1704034.75","3","tonnes"
"Belarus","2011","1110645.5","3","tonnes"
"Belarus","2010","1124600","3","tonnes"
"Belarus","2009","943306.6875","3","tonnes"
"Belarus","2008","625929.0625","3","tonnes"
"Belarus","2007","446203.875","3","tonnes"
"Belarus","2006","345939.96875","3","tonnes"
"Belarus","2005","315250.625","3","tonnes"
"Belarus","2004","169.740005493164","3","tonnes"
"Belarus","2003","123930","","tonnes"
"Belarus","2002","139425","","tonnes"
"Belarus","2001","116816","","tonnes"
"Belgium","2014","2140043","","tonnes"
"Belgium","2012","2059944","","tonnes"
"Belgium","2010","13964707","","tonnes"
"Belgium","2008","2200008","","tonnes"
"Belgium","2006","1760728","","tonnes"
"Belgium","2004","3310427","","tonnes"
"Belize","2000","775","4","tonnes"
"Belize","1999","691","4","tonnes"
"Bermuda","2015","668.900024414063","5","tonnes"
"Bermuda","2014","615","","tonnes"
"Bermuda","2013","543","","tonnes"
"Bermuda","2012","576","","tonnes"
"Bermuda","2011","601","","tonnes"
"Bermuda","2010","585","","tonnes"
"Botswana","2015","719.190002441406","6","tonnes"
"Botswana","2013","386.679992675781","6","tonnes"
"Bulgaria","2014","12176438","","tonnes"
"Bulgaria","2012","13389620","","tonnes"
"Bulgaria","2010","13561160","","tonnes"
"Bulgaria","2008","13037033","","tonnes"
"Bulgaria","2006","13474505","","tonnes"
"Bulgaria","2004","12090994","","tonnes"
"Burkina Faso","2010","11.1999998092651","","tonnes"
"Burkina Faso","2009","8.89999961853027","","tonnes"
"Cameroon","2009","8716.599609375","","tonnes"
"Cameroon","2008","9383.2998046875","","tonnes"
"Cameroon","2007","8296.099609375","","tonnes"
"Cameroon","2006","10343.900390625","","tonnes"
"Cameroon","2005","9429.7998046875","","tonnes"
"Cameroon","2004","5715.5","","tonnes"
"China","2015","32237000","","tonnes"
"China","2014","29908200","","tonnes"
"China","2013","24012900","","tonnes"
"China","2012","27028500","","tonnes"
"China","2011","26895300","7","tonnes"
"China","2010","14895000","","tonnes"
"China","2009","12590000","","tonnes"
"China","2008","12080000","","tonnes"
"China","2007","9960000","","tonnes"
"China","2006","8550000","","tonnes"
"China","2005","8350000","","tonnes"
"China","2004","6780000","","tonnes"
"China","2003","8020000","","tonnes"
"China","2002","6330000","","tonnes"
"China","2001","6710000","","tonnes"
"China","2000","5870000","","tonnes"
"China","1999","9890000","","tonnes"
"China","1998","9282000","","tonnes"
"China, Hong Kong Special Administrative Region","2015","31699","8","tonnes"
"China, Hong Kong Special Administrative Region","2014","30318","8","tonnes"
"China, Hong Kong Special Administrative Region","2013","30772","8","tonnes"
"China, Hong Kong Special Administrative Region","2012","31981","8","tonnes"
"China, Hong Kong Special Administrative Region","2011","34409","8","tonnes"
"China, Hong Kong Special Administrative Region","2010","39404","8","tonnes"
"China, Hong Kong Special Administrative Region","2009","53459","8","tonnes"
"China, Hong Kong Special Administrative Region","2008","55899","8","tonnes"
"China, Hong Kong Special Administrative Region","2007","59574","8","tonnes"
"China, Hong Kong Special Administrative Region","2006","57973","8","tonnes"
"China, Hong Kong Special Administrative Region","2005","46357","8","tonnes"
"China, Hong Kong Special Administrative Region","2004","47318","8","tonnes"
"China, Hong Kong Special Administrative Region","2003","58968","8","tonnes"
"China, Hong Kong Special Administrative Region","2002","63848","","tonnes"
"China, Hong Kong Special Administrative Region","2001","76998","","tonnes"
"China, Hong Kong Special Administrative Region","2000","91261","","tonnes"
"China, Hong Kong Special Administrative Region","1999","71705","","tonnes"
"China, Hong Kong Special Administrative Region","1998","88458","","tonnes"
"China, Hong Kong Special Administrative Region","1997","79327","","tonnes"
"China, Hong Kong Special Administrative Region","1996","79405","","tonnes"
"China, Hong Kong Special Administrative Region","1995","97066","","tonnes"
"China, Macao Special Administrative Region","2015","23668","","tonnes"
"China, Macao Special Administrative Region","2014","20157","","tonnes"
"China, Macao Special Administrative Region","2013","17252","","tonnes"
"China, Macao Special Administrative Region","2012","17683","","tonnes"
"China, Macao Special Administrative Region","2011","17573","","tonnes"
"China, Macao Special Administrative Region","2010","12419","","tonnes"
"China, Macao Special Administrative Region","2009","11705","","tonnes"
"China, Macao Special Administrative Region","2008","8826","","tonnes"
"China, Macao Special Administrative Region","2007","6369","","tonnes"
"China, Macao Special Administrative Region","2006","6499","","tonnes"
"China, Macao Special Administrative Region","2005","5929","","tonnes"
"China, Macao Special Administrative Region","2004","5870","","tonnes"
"China, Macao Special Administrative Region","2003","5924","","tonnes"
"China, Macao Special Administrative Region","2002","5249","","tonnes"
"China, Macao Special Administrative Region","2001","4545","","tonnes"
"China, Macao Special Administrative Region","2000","4188","","tonnes"
"China, Macao Special Administrative Region","1999","3905","","tonnes"
"China, Macao Special Administrative Region","1998","3854","","tonnes"
"China, Macao Special Administrative Region","1997","4179","","tonnes"
"Croatia","2014","66055","","tonnes"
"Croatia","2012","73404","","tonnes"
"Croatia","2010","68554","","tonnes"
"Croatia","2008","18364","","tonnes"
"Croatia","2006","623383","","tonnes"
"Croatia","2004","42636","","tonnes"
"Cuba","2015","272285","","tonnes"
"Cuba","2014","345665","","tonnes"
"Cuba","2013","467293","","tonnes"
"Cuba","2012","537508","","tonnes"
"Cuba","2011","230469","","tonnes"
"Cuba","2010","488662","","tonnes"
"Cyprus","2014","161446","","tonnes"
"Cyprus","2012","24201","","tonnes"
"Cyprus","2010","30779","","tonnes"
"Cyprus","2008","23290","","tonnes"
"Cyprus","2006","16651","","tonnes"
"Cyprus","2004","65047","","tonnes"
"Czechia","2014","597309","","tonnes"
"Czechia","2012","753402","","tonnes"
"Czechia","2010","831600","","tonnes"
"Czechia","2008","834798","","tonnes"
"Czechia","2006","572497","","tonnes"
"Czechia","2004","648497","","tonnes"
"Denmark","2014","1819120","","tonnes"
"Denmark","2012","977663","","tonnes"
"Denmark","2010","1073218","","tonnes"
"Denmark","2008","416095","","tonnes"
"Denmark","2006","375562","","tonnes"
"Denmark","2004","338334","","tonnes"
"El Salvador","2013","5.8600001335144","","tonnes"
"El Salvador","2012","1.89999997615814","","tonnes"
"El Salvador","2010","42.7000007629395","","tonnes"
"Estonia","2014","10315094","","tonnes"
"Estonia","2012","9131275","","tonnes"
"Estonia","2010","8928558","","tonnes"
"Estonia","2008","7708801","","tonnes"
"Estonia","2006","6864430","","tonnes"
"Estonia","2004","7180381","","tonnes"
"Finland","2014","1915719","","tonnes"
"Finland","2012","1411308","","tonnes"
"Finland","2010","1365767","","tonnes"
"Finland","2008","2178038","","tonnes"
"Finland","2006","2172452","","tonnes"
"Finland","2004","2229060","","tonnes"
"France","2014","7605065","","tonnes"
"France","2012","8841003","","tonnes"
"France","2010","8533645","","tonnes"
"France","2008","6853136","","tonnes"
"France","2006","6689820","","tonnes"
"France","2004","6772000","","tonnes"
"French Guiana","2013","1104","9","tonnes"
"French Guiana","2008","111","10","tonnes"
"French Guiana","2007","76","10","tonnes"
"Germany","2014","20521108","","tonnes"
"Germany","2012","21098396","","tonnes"
"Germany","2010","19046940","","tonnes"
"Germany","2008","23823844","","tonnes"
"Germany","2006","21743228","","tonnes"
"Germany","2004","20556732","","tonnes"
"Greece","2014","115015","","tonnes"
"Greece","2012","108104","","tonnes"
"Greece","2010","108202","","tonnes"
"Greece","2008","157014","","tonnes"
"Greece","2006","186785","","tonnes"
"Greece","2004","292650","","tonnes"
"Guadeloupe","2013","19569","9","tonnes"
"Guadeloupe","2008","9048","10","tonnes"
"Guadeloupe","2007","4385","10","tonnes"
"Guatemala","2012","6324.89990234375","","tonnes"
"Guatemala","2011","10204","","tonnes"
"Guatemala","2010","304970","","tonnes"
"Guatemala","2009","3600","","tonnes"
"Guatemala","2008","917","","tonnes"
"Guatemala","2007","846","","tonnes"
"Guatemala","2006","709","","tonnes"
"Guatemala","2005","732","","tonnes"
"Guatemala","2004","833","","tonnes"
"Guatemala","2003","376","","tonnes"
"Guatemala","2002","0","","tonnes"
"Guatemala","2001","0","","tonnes"
"Hungary","2014","372580","","tonnes"
"Hungary","2012","376811","","tonnes"
"Hungary","2010","373999","","tonnes"
"Hungary","2008","449610","","tonnes"
"Hungary","2006","1179859","","tonnes"
"Hungary","2004","325032","","tonnes"
"Iceland","2014","38960","11","tonnes"
"Iceland","2012","11639","","tonnes"
"Iceland","2010","7926","","tonnes"
"Iceland","2008","135100","","tonnes"
"Iceland","2004","11000","","tonnes"
"Iraq","2015","20622","","tonnes"
"Iraq","2010","15546","","tonnes"
"Ireland","2014","86518","","tonnes"
"Ireland","2012","69111","","tonnes"
"Ireland","2010","266742","","tonnes"
"Ireland","2008","192782","","tonnes"
"Ireland","2006","190951","","tonnes"
"Ireland","2004","122734","","tonnes"
"Italy","2014","3574305","","tonnes"
"Italy","2012","3258267","","tonnes"
"Italy","2010","3106766","","tonnes"
"Italy","2008","3277345","","tonnes"
"Italy","2006","2926159","","tonnes"
"Italy","2004","2885110","","tonnes"
"Jamaica","2006","8435","","tonnes"
"Jamaica","2005","10000","","tonnes"
"Jamaica","2004","10000","","tonnes"
"Jamaica","2003","10000","","tonnes"
"Jamaica","2002","10000","","tonnes"
"Jamaica","2001","10000","","tonnes"
"Jamaica","2000","10000","","tonnes"
"Jamaica","1999","10000","","tonnes"
"Jamaica","1998","10000","","tonnes"
"Jamaica","1997","10000","","tonnes"
"Jamaica","1996","10000","","tonnes"
"Jordan","2013","47400","","tonnes"
"Jordan","2011","1230440.625","12","tonnes"
"Jordan","2010","61962.1015625","12","tonnes"
"Jordan","2009","108403.3984375","12","tonnes"
"Jordan","2008","1293804.375","12,13","tonnes"
"Jordan","2006","16120.099609375","","tonnes"
"Jordan","2005","48623.80078125","","tonnes"
"Jordan","2004","33431.8984375","","tonnes"
"Jordan","2003","73616.703125","","tonnes"
"Kazakhstan","2015","86369336","","tonnes"
"Kazakhstan","2014","131607688","","tonnes"
"Kazakhstan","2013","175721472","","tonnes"
"Kazakhstan","2012","126844112","","tonnes"
"Kazakhstan","2011","108102392","","tonnes"
"Kazakhstan","2010","85282312","","tonnes"
"Kazakhstan","2009","106067696","","tonnes"
"Kazakhstan","2008","369855104","","tonnes"
"Kazakhstan","2007","283727776","","tonnes"
"Kazakhstan","2006","60856836","","tonnes"
"Kazakhstan","2005","17450422","","tonnes"
"Kazakhstan","2004","28404104","","tonnes"
"Kyrgyzstan","2015","4936829.5","","tonnes"
"Kyrgyzstan","2014","4983976","","tonnes"
"Kyrgyzstan","2013","3131828.75","","tonnes"
"Kyrgyzstan","2012","53942.76953125","","tonnes"
"Kyrgyzstan","2011","82317.140625","","tonnes"
"Kyrgyzstan","2010","187180.796875","","tonnes"
"Kyrgyzstan","2009","19342756","","tonnes"
"Kyrgyzstan","2008","3006","","tonnes"
"Kyrgyzstan","2007","7909705","","tonnes"
"Kyrgyzstan","2006","1258","","tonnes"
"Kyrgyzstan","2005","1555","","tonnes"
"Kyrgyzstan","2004","307","","tonnes"
"Kyrgyzstan","2003","5327","","tonnes"
"Kyrgyzstan","2002","39","","tonnes"
"Kyrgyzstan","2001","35","","tonnes"
"Kyrgyzstan","2000","4011426","","tonnes"
"Kyrgyzstan","1999","275","","tonnes"
"Kyrgyzstan","1998","32","","tonnes"
"Kyrgyzstan","1997","1477107","","tonnes"
"Kyrgyzstan","1996","191","","tonnes"
"Kyrgyzstan","1995","339","","tonnes"
"Latvia","2014","43375","","tonnes"
"Latvia","2012","41749","","tonnes"
"Latvia","2010","54193","","tonnes"
"Latvia","2008","67877","","tonnes"
"Latvia","2006","52242","","tonnes"
"Latvia","2004","57791","","tonnes"
"Lebanon","2001","108218","","tonnes"
"Lebanon","1998","3945","14","tonnes"
"Lithuania","2014","55457","","tonnes"
"Lithuania","2012","70246","","tonnes"
"Lithuania","2010","48853","","tonnes"
"Lithuania","2008","19927","","tonnes"
"Lithuania","2006","28101","","tonnes"
"Lithuania","2004","38081","","tonnes"
"Luxembourg","2014","37843","","tonnes"
"Luxembourg","2012","1992","","tonnes"
"Luxembourg","2010","3272","","tonnes"
"Luxembourg","2008","46734","","tonnes"
"Luxembourg","2006","130189","","tonnes"
"Luxembourg","2004","34375","","tonnes"
"Madagascar","2007","45957","","tonnes"
"Malaysia","2015","592461.75","","tonnes"
"Malaysia","2014","806295.375","","tonnes"
