stk_flow,unit,waste,wst_oper,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
DOM,PC,W1501,RCY,AT	68.4 	67.2 	67.9 	66.9 	66.6 	65.8 	65.9 	66.6 	66.6 	67.1 	66.8 	65.6 
DOM,PC,W1501,RCY,BE	79 	80.4 	78.9 	79.1 	79.8 	80.2 	80.3 	78.7 	81.3 	81.5 	81.9 	83.8 
DOM,PC,W1501,RCY,BG	35 	54.8 	50.3 	45.9 	61.6 	65.1 	66.5 	65.7 	62 	64.1 	63.8 	65.6 
DOM,PC,W1501,RCY,CY	25.2 	25.7 	34 	42.2 	50 	52 	55.3 	56.6 	58.7 	59.8 	64.6 	66.2 
DOM,PC,W1501,RCY,CZ	63.4 	65.9 	67.1 	68.8 	70 	69.7 	69.9 	69.9 	73 	74.3 	75.3 	73.7 
DOM,PC,W1501,RCY,DE	66.5 	66.9 	70.5 	73.5 	72.7 	71.8 	71.3 	71.8 	71.4 	69.3 	70.7 	69.9 
DOM,PC,W1501,RCY,DK	56.2 	56.8 	59.7 	84 	84 e	54.3 b	61.6 	69.8 	69.8 	73.9 	79 	71.5 
DOM,PC,W1501,RCY,EE	45.7 	49.6 	43.5 	57.2 	56.1 	62.9 	61.3 	58.4 	60.3 	59 	56 	53.5 
DOM,PC,W1501,RCY,EL	42.8 	48 	43.8 	52.3 	58.7 	62.1 	58.6 	52.4 	53.8 	60.3 	66.1 	68.6 
DOM,PC,W1501,RCY,ES	54 	56.3 	59.1 	60.3 	61.9 	63.9 	65.5 	66.6 	68.7 	68.4 	70.3 	68.5 
DOM,PC,W1501,RCY,EU27_2020	56.8 s	59.1 s	60.4 s	62.6 s	64 s	64.2 s	65.2 	65.4 	66.5 	66.6 	67.5 	67.5 
DOM,PC,W1501,RCY,EU28	56.9 s	59.2 s	60.5 s	62.4 s	63.5 s	63.8 s	64.7 	65.3 	65.5 	65.8 	67.2 	67 
DOM,PC,W1501,RCY,FI	49.1 	51.9 	56.7 	55.5 	55.4 	58.7 	59.3 	58 	57.4 	60.9 	64.7 	65.2 
DOM,PC,W1501,RCY,FR	54.8 	57 	55.2 	56.4 	61.1 	61.3 	64.9 	66.4 	65.2 	65.5 	66 	68.1 
DOM,PC,W1501,RCY,HR	: 	: 	: 	: 	: 	: 	59.7 	58.8 	52.7 	60.1 	54.7 	53.3 
DOM,PC,W1501,RCY,HU	48.9 	46.4 	50.8 	51.1 	58.7 	59.3 	48.5 	49.2 	48.4 	50.1 	49.7 	49.7 
DOM,PC,W1501,RCY,IE	54.5 	60.6 	61.7 s	64.9 	66.2 	70.9 	74 	70.2 	68.3 	67.5 	67 	65.6 
DOM,PC,W1501,RCY,IS	: 	: 	: 	: 	35.7 	46.2 	41.8 	: 	: 	50.6 	51.6 	46.8 
DOM,PC,W1501,RCY,IT	54.9 	56.8 	59.6 	64 	64.4 	64.5 	66.6 	66.7 	65.4 	66.8 	66.9 	67.1 
DOM,PC,W1501,RCY,LI	48.9 	48.5 	47 	50 	45.9 	48.7 	44.3 	50.3 	51.9 	66.1 	65.8 	66.7 
DOM,PC,W1501,RCY,LT	37 	42.9 	51.7 	57.7 	60.4 	62.2 	62.2 	53.5 	57.7 	59.8 	69.5 	62.3 
DOM,PC,W1501,RCY,LU	63.8 	62.5 	63.6 	61 	66 	66 	62.5 	62.8 	66 	67.9 	67.8 	67.1 
DOM,PC,W1501,RCY,LV	42.2 	39.6 	46.8 	44.9 	48.9 	50.9 	51.1 	51 	54.9 	53.9 	57.7 	58.7 
DOM,PC,W1501,RCY,MT	10.8 	10.4 	45.9 	36 	28.5 	42.3 	46.6 	38.1 	41.1 	37.1 	39.7 	35.6 
DOM,PC,W1501,RCY,NL	70.2 	69.8 	72.4 	74.9 	73.9 	71.9 	69.3 	70.4 	70.5 	71.7 	72.6 	78.1 
DOM,PC,W1501,RCY,NO	70.3 	68.4 	54.7 	53.1 	56.7 	57.5 	55.9 	54.5 	55.7 	55.1 	56.3 	56.1 
DOM,PC,W1501,RCY,PL	37.1 	48.2 	42.9 	36.8 	38.9 	41.2 	41.4 	36.1 	55.4 	57.6 	58 	56.7 
DOM,PC,W1501,RCY,PT	51.4 	56.5 	61 	59.9 	55.5 	58.4 	56.9 	61.5 	61 	57.1 	60.9 	55.3 
DOM,PC,W1501,RCY,RO	28.6 	30.6 	33.5 	40.5 	43.4 	50 	56.8 	52.8 	54.8 	55.9 	60.4 	60.4 
DOM,PC,W1501,RCY,SE	58.1 	59.3 	58.5 	58.9 	69.2 	71.5 	69.6 	71.9 	70.5 	71.8 	68.2 	71.7 
DOM,PC,W1501,RCY,SI	40.3 	46.9 	52.4 	49.6 	61 	63.6 	66.9 	69 	70.4 	67 	69.4 	70.1 
DOM,PC,W1501,RCY,SK	36.3 	61.1 	47.7 	59.9 	45.7 	62.4 	68.1 	65.9 	65.4 	64.3 	65.8 	65.7 
DOM,PC,W1501,RCY,UK	57.5 	59.3 	61.5 	61.8 	60.7 	60.8 	61.4 	64.6 	59.2 	60.6 	64.7 	63.9 
DOM,PC,W150101,RCY,AT	87 	83.5 	85.4 	84.8 	84.5 	84.5 	84.9 	84.3 	84.9 	84.9 	84.9 	83.5 
DOM,PC,W150101,RCY,BE	89.1 	92 	89.4 	88 	89.8 	90.4 	89.8 	89.1 	90.6 	90.7 	89.4 	92.9 
DOM,PC,W150101,RCY,BG	51.8 	97.8 	84.9 	67.3 	81.9 	98.1 	94.2 	88.8 	70.1 	78.7 	80.1 	79.6 
DOM,PC,W150101,RCY,CY	38 	39.2 	59.9 	78.9 	83.4 	88.3 	88.9 	97.3 	96.7 	96.6 	99.7 	93.3 
DOM,PC,W150101,RCY,CZ	90.8 	94.2 	93.8 	93.9 	93.5 	90.5 	85.9 	87.6 	88.6 	90.1 	93.7 	90.6 
DOM,PC,W150101,RCY,DE	80.2 	80.2 	87.7 	91.1 	90.2 	88 	87.6 	88.2 	87.3 	85.7 	88.7 	87.6 
DOM,PC,W150101,RCY,DK	62.2 	60.5 	61 	93.5 	93.5 e	63.8 b	76.5 	85.4 	91.8 	95.3 	97.7 	81.9 
DOM,PC,W150101,RCY,EE	55.2 	57 	65.1 	69.1 	82.9 	79.1 	77.2 	75.5 	74.2 	76.3 	79 	76.9 
DOM,PC,W150101,RCY,EL	70 	79.5 	73.6 e	83 	94.1 	91.9 	83.6 	79.7 	79.1 	89.6 	98.5 	99.5 
DOM,PC,W150101,RCY,ES	71.4 	70 	73.4 	76.7 	76.1 	76.6 	77.8 	75 	78.2 	76.9 	79.7 	74.6 
DOM,PC,W150101,RCY,EU27_2020	75.4 s	78.3 s	81 s	83.3 s	83.8 s	82.7 s	83.5 	84 	84.1 	83.9 	85.4 	85.5 
DOM,PC,W150101,RCY,EU28	75.7 s	78.4 s	80.9 s	83.4 s	83.5 s	83 s	83.9 	84.7 	82.5 	83 	85 	84.6 
DOM,PC,W150101,RCY,FI	86.1 	87.6 	93.1 	94.7 	96.2 	96.8 	99.2 	97.6 	101.2 	111.6 	114.6 	116.1 
DOM,PC,W150101,RCY,FR	84.6 	89 	86.9 	85.6 	91.9 	88 	91.8 	95.8 	94.1 	92 	93.9 	98.4 
DOM,PC,W150101,RCY,HR	: 	: 	: 	: 	: 	: 	96.1 	88.2 	76.9 	89.4 	82.5 	83.7 
DOM,PC,W150101,RCY,HU	94.2 	86.5 	90.6 	94 	94.7 	94 	73 	78.3 	66.2 	75.8 	77 	74.5 
DOM,PC,W150101,RCY,IE	73.7 	77 	78.2 s	81.2 	84 	91.5 	83 	79.1 	79.4 	79.7 	79.2 	78.5 
DOM,PC,W150101,RCY,IS	: 	: 	: 	: 	65.3 	76.5 	62.9 	: 	: 	83.9 	83.1 	83.7 
DOM,PC,W150101,RCY,IT	66.6 	69.7 	73.8 	80.4 	78.7 	79.5 	84.5 	84.6 	78.7 	79.7 	79.7 	79.8 
DOM,PC,W150101,RCY,LI	76 	77 	76.1 	78 	75.1 	74.6 	66.2 	75.9 	76.2 	82.1 	82.6 	82.3 
DOM,PC,W150101,RCY,LT	59.5 	67.7 	73 	73.5 	83.5 	83.7 	82.4 	87.3 	89.1 	87.2 	85 	89.1 
DOM,PC,W150101,RCY,LU	71.6 	70.6 	77.6 	76.5 	76 	77.8 	76.7 	74.4 	81.6 	82.2 	82.8 	83.6 
DOM,PC,W150101,RCY,LV	58.3 	57.5 	66.1 	74.6 	74.9 	75.2 	75.3 	74.7 	81.5 	77.5 	81.1 	86.2 
DOM,PC,W150101,RCY,MT	11.2 	8.1 	29.6 	48.4 	51.4 	72.7 	77.2 	48.4 	55.5 	56.4 	59.7 	50.7 
DOM,PC,W150101,RCY,NL	94 	93.8 	96.4 	94.8 	89.9 	88.6 	88.9 	88.2 	85.9 	85.4 	85.4 	87.1 
DOM,PC,W150101,RCY,NO	83.2 	82.2 	78 	79.6 	83.2 	84.9 	81.6 	81.4 	82.9 	82.2 	83 	85 
DOM,PC,W150101,RCY,PL	51 	69.1 	67.1 	50.9 	57.1 	58.7 	53.1 	50 	72.8 	77.6 	73.8 	82.2 
DOM,PC,W150101,RCY,PT	68.2 	81.8 	87.8 	79.5 	67 	71.3 	66.1 	73.4 	69.1 	62.2 	70.1 	66.9 
DOM,PC,W150101,RCY,RO	55.7 	61.2 	61.6 	68.7 	66.8 	65.5 	69.8 	74.6 	83.4 	89.3 	92.5 	90.6 
DOM,PC,W150101,RCY,SE	72 	73.5 	74.1 	74.2 	69.6 	75.5 	76.8 	78.4 	79.3 	81.7 	81.8 	81.8 
DOM,PC,W150101,RCY,SI	66.3 	68.5 	66.4 	71.8 	74.7 	73.5 	78.7 	78.7 	80.4 	75.6 	76.6 	76.2 
DOM,PC,W150101,RCY,SK	60.8 	86.1 	53.6 	84.2 	50.8 	80.2 	84.7 	79.7 	79.9 	76.8 	78.4 	74.2 
DOM,PC,W150101,RCY,UK	78 	79.3 	79.7 	83.9 	81.9 	84.8 	86.5 	89.4 	73.1 	77.2 	82 	79 
DOM,PC,W150102,RCY,AT	35.8 	32.7 	34.9 	32.7 	34.4 	34.8 	34.7 	34.4 	33.6 	33.6 	33.6 	33.4 
DOM,PC,W150102,RCY,BE	38.6 	38.4 	39.5 	43 	41.5 	41.4 	41.5 	39 	41.8 	42.6 	43.4 	44.5 
DOM,PC,W150102,RCY,BG	20.2 	19.5 	15.6 	30 	40.9 	39.2 	40.7 	41.3 	64.1 	60.8 	52.6 	64.8 
DOM,PC,W150102,RCY,CY	14.5 	14.3 	14.8 	18.2 	27.2 	38 	44.8 	45.3 	46.6 	63.7 	62.3 	65 
DOM,PC,W150102,RCY,CZ	44.3 	45.5 	50.2 	52.5 	54 	57 	58.2 	59.7 	58.2 	61.7 	59.2 	58.9 
DOM,PC,W150102,RCY,DE	38.1 	40.7 	44.7 	46.5 	45.1 	46.3 	47 	46.8 	47.3 	47.4 	48.4 	48 
DOM,PC,W150102,RCY,DK	20.3 	21.8 	25.4 	26.4 	26.4 e	22.3 b	25.9 	29.1 	30.7 	30.5 	36.1 	41.8 
DOM,PC,W150102,RCY,EE	33.7 	38.2 	22 	22.7 	33.4 	39.6 e	29.8 	28.1 	29.3 	27.8 	24.6 	26.5 
DOM,PC,W150102,RCY,EL	10 	13.7 	11.9 	26.7 	30.1 	33 	32.2 	32.3 	32.8 	36.8 	38.2 	41.4 
DOM,PC,W150102,RCY,ES	22.4 	23.3 	24.4 	26.6 	29.2 	32.4 	35.1 	40.7 	42.5 	44 	45.5 	47.9 
DOM,PC,W150102,RCY,EU27_2020	27.1 s	28.6 s	30.9 s	33.5 s	34.1 s	35.6 s	37 	37.5 	39 	40 	42 	41.2 
DOM,PC,W150102,RCY,EU28	26.4 s	27.7 s	29.8 s	31.9 s	32.5 s	33.7 s	35 	36.6 	38.9 	39.9 	42.4 	41.9 
DOM,PC,W150102,RCY,FI	15.9 	18.4 	22.7 	25.3 	26.2 	25.4 	25.4 	22.7 	24.6 	23.7 	25.4 	26.5 
DOM,PC,W150102,RCY,FR	19 	21.1 	22.5 	25 	23.7 	23.3 	25.1 	25.6 	25.2 	25.5 	25.8 	26.5 
DOM,PC,W150102,RCY,HR	: 	: 	: 	: 	: 	: 	45.4 	45.3 	37.7 	46.3 	41.1 	37.3 
DOM,PC,W150102,RCY,HU	20.4 	17 	25.1 	24.5 	32.5 	22.4 	27.8 	30.8 	36.8 	27.4 	31.4 	32 
DOM,PC,W150102,RCY,IE	20.1 	22.2 	28.9 s	36.2 	39.4 	47.5 	38.2 	34.8 	31.3 	29.7 	31.2 	30.5 
DOM,PC,W150102,RCY,IS	: 	: 	: 	: 	33.3 	43.5 	42.7 	: 	: 	37.2 	42.7 	29.7 
DOM,PC,W150102,RCY,IT	27.4 	28.3 	31.1 	33.5 	34.5 	36.1 	37.5 	36.8 	38 	41.1 	42.4 	41.8 
DOM,PC,W150102,RCY,LI	4.5 	3.2 	1.9 	3 	2.3 	2.6 	7 	6.6 	6.8 	16.9 	20.9 	18.3 
DOM,PC,W150102,RCY,LT	26.7 	28.5 	32.6 	35.9 	38.4 	38.9 	38.9 	42.9 	51.2 	54.8 	74.4 	74.2 
DOM,PC,W150102,RCY,LU	31.8 	38.7 	29.7 	24.6 	31 	33.2 	36.7 	32.2 	32.3 	31.9 	30.8 	33.4 
DOM,PC,W150102,RCY,LV	26.7 	22.8 	17.6 	20.3 	24 	23 	24 	24.5 	36.4 	35.3 	37.2 	36.6 
DOM,PC,W150102,RCY,MT	7.4 	10.6 	14 	50.9 	22 	28.9 	32.8 	22.6 	32.9 	28.6 	23.5 	19.2 
DOM,PC,W150102,RCY,NL	32.5 	33.7 	36.4 	38.4 	47.6 	50.7 	47.7 	46.6 	50.6 	49.8 	51.5 	50.4 
DOM,PC,W150102,RCY,NO	29.9 	29.8 	26.7 	30 	36.4 	37.6 	38.1 	38.8 	36.1 	37.1 	39.3 	36.1 
DOM,PC,W150102,RCY,PL	24.6 	27.9 	23.7 	21.3 	20.1 	22.5 	21.9 	19.7 	28.3 	30.8 	46.9 	34.6 
DOM,PC,W150102,RCY,PT	15.4 	15.3 	19.1 	25.5 	24.5 	26.1 	30.4 	35.3 	40 	43 	41.8 	34.9 
DOM,PC,W150102,RCY,RO	17 	15.3 	15.5 	23.8 	28.2 	40.3 	51.3 	51.7 	44.5 	46.7 	46.5 	47.6 
DOM,PC,W150102,RCY,SE	43.8 	41.7 	37 	37.5 	32.4 	34.1 	34.9 	45.6 	47.5 	49 	50.7 	48.4 
DOM,PC,W150102,RCY,SI	38.6 	46.5 	55.6 	42 	67.3 	75.5 	64.8 	81.7 	69.3 	63.4 	62 	60.4 
DOM,PC,W150102,RCY,SK	39.7 	41.7 	43.7 	49.3 	44.9 	49.9 	57 	55.1 	55.9 	54.4 	51.7 	52.4 
DOM,PC,W150102,RCY,UK	22 	22.5 	23.7 	24.1 	24.1 	24.2 	25.2 	31.6 	37.9 	39.4 	44.9 	46.2 
DOM,PC,W150103,RCY,AT	16.9 	19.1 	21.9 	21.8 	33.7 	21.1 	21.5 	20.3 	19.9 	18.1 	17.7 	19.9 
DOM,PC,W150103,RCY,BE	63.8 	71.5 	57.9 	56.8 	63.3 	63.4 	66.1 	59 	72.2 	74.9 	80.9 	83.7 
DOM,PC,W150103,RCY,BG	0 	0 	40.6 	45.5 	53.8 	41.5 	53.1 	58.5 	37.8 	32.7 	39 	31.9 
DOM,PC,W150103,RCY,CY	23.1 	21.6 	14.9 	24.6 	8.4 	9.8 	6.2 	12 	11.5 	9.2 	10 	8.5 
DOM,PC,W150103,RCY,CZ	21.2 	37.2 	29.3 	32.9 	36.3 	27.6 	25.7 	35.6 	66.1 	68.7 	63.9 	51.2 
DOM,PC,W150103,RCY,DE	30 	30.2 	28.8 	30.8 	27.5 	30.1 	30.3 	25.5 	26.8 	25.8 	26 	25.8 
DOM,PC,W150103,RCY,DK	33.9 	32.9 	41 	86.1 	86.1 e	29.5 	40.4 	66.4 	52.5 	75.9 	87.3 	59.4 
DOM,PC,W150103,RCY,EE	17.2 	38.5 	56.7 	81 	63 	72.4 	59.7 	66.3 	62 	66.1 	32.5 	16.4 
DOM,PC,W150103,RCY,EL	58.3 	75 	30.8 	37.3 	50.1 	65.9 	41.8 	2.5 	17.4 	22 	21.9 	20.4 
